Bike Model,Mileage,Sell Price,Age
Royal Enfield Classic 350,15000,2500,2
Royal Enfield Classic 350,30000,2100,3
Royal Enfield Classic 350,5000,2800,1
Royal Enfield Classic 350,40000,1800,4
Royal Enfield Classic 350,25000,2300,3
KTM Duke 200,10000,2700,2
KTM Duke 200,20000,2300,3
KTM Duke 200,12000,2500,2
KTM Duke 200,30000,1900,4
KTM Duke 200,45000,1600,5
Yamaha R15,8000,2900,1
Yamaha R15,22000,2400,3
Yamaha R15,15000,2600,2
Yamaha R15,28000,2000,4
Yamaha R15,35000,1800,5
Bajaj Pulsar 150,10000,1900,2
Bajaj Pulsar 150,25000,1600,3
Bajaj Pulsar 150,35000,1400,4
Bajaj Pulsar 150,45000,1200,5
Bajaj Pulsar 150,15000,1700,2
